#start_time:	2023-09-30 22:43:41.662148
#outdir:	C:\Users\raman\MRQy-master\src\mrqy\UserInterface\Data\output
#dataset:Patient	Name of Images	VRX	VRY	VRZ	ROWS	COLS	NUM	MEAN	RNG	VAR	CV	CPP	PSNR	SNR1	SNR2	SNR3	SNR4	CNR	CVP	CJV	EFC	FBER	x	y	u	v
C3N-01342	['C3N-01342(1).png', 'C3N-01342(10).png', 'C3N-01342(11).png', 'C3N-01342(12).png', 'C3N-01342(13).png', 'C3N-01342(14).png', 'C3N-01342(15).png', 'C3N-01342(16).png', 'C3N-01342(17).png', 'C3N-01342(18).png', 'C3N-01342(19).png', 'C3N-01342(2).png', 'C3N-01342(20).png', 'C3N-01342(21).png', 'C3N-01342(22).png', 'C3N-01342(23).png', 'C3N-01342(24).png', 'C3N-01342(25).png', 'C3N-01342(26).png', 'C3N-01342(27).png', 'C3N-01342(28).png', 'C3N-01342(29).png', 'C3N-01342(3).png', 'C3N-01342(30).png', 'C3N-01342(31).png', 'C3N-01342(4).png', 'C3N-01342(5).png', 'C3N-01342(6).png', 'C3N-01342(7).png', 'C3N-01342(8).png', 'C3N-01342(9).png']	0.87	0.87	5.2	320	320	31	243.89020302223125	744.2333333333333	21874.550412455	60.75461345240232	0.155731689453125	9.106230370956888	10.757688362891034	36.59976274797358	8.735260353912649	41.46554043733002	40.66452473155552	0.3027403372960127	0.7003828749216326	9.540049937420973	422.9044746630133	158.3042449951172	152.85916137695312	3.924446	-3.8074043
C3N-01871	['C3N-01871(1).png', 'C3N-01871(10).png', 'C3N-01871(11).png', 'C3N-01871(12).png', 'C3N-01871(13).png', 'C3N-01871(14).png', 'C3N-01871(15).png', 'C3N-01871(16).png', 'C3N-01871(17).png', 'C3N-01871(18).png', 'C3N-01871(19).png', 'C3N-01871(2).png', 'C3N-01871(20).png', 'C3N-01871(21).png', 'C3N-01871(22).png', 'C3N-01871(23).png', 'C3N-01871(24).png', 'C3N-01871(25).png', 'C3N-01871(26).png', 'C3N-01871(27).png', 'C3N-01871(28).png', 'C3N-01871(29).png', 'C3N-01871(3).png', 'C3N-01871(30).png', 'C3N-01871(4).png', 'C3N-01871(5).png', 'C3N-01871(6).png', 'C3N-01871(7).png', 'C3N-01871(8).png', 'C3N-01871(9).png']	0.94	0.94	5.2	320	320	30	316.6655705084223	833.1034482758621	27928.445768023656	52.68555581941536	0.2466607455549568	8.257157918945964	11.815379180348218	33.43190386193456	4.228002321655539	28.703860714158274	27.65957212907931	0.6560891256761823	0.5913988844739532	16.328734767690626	1342.9518674251308	-154.90863037109375	-15.818743705749512	3.469707	-4.5042505
C3N-01875	['C3N-01875(1).png', 'C3N-01875(10).png', 'C3N-01875(11).png', 'C3N-01875(12).png', 'C3N-01875(13).png', 'C3N-01875(14).png', 'C3N-01875(15).png', 'C3N-01875(16).png', 'C3N-01875(17).png', 'C3N-01875(18).png', 'C3N-01875(19).png', 'C3N-01875(2).png', 'C3N-01875(20).png', 'C3N-01875(21).png', 'C3N-01875(22).png', 'C3N-01875(23).png', 'C3N-01875(24).png', 'C3N-01875(25).png', 'C3N-01875(26).png', 'C3N-01875(27).png', 'C3N-01875(28).png', 'C3N-01875(29).png', 'C3N-01875(3).png', 'C3N-01875(30).png', 'C3N-01875(4).png', 'C3N-01875(5).png', 'C3N-01875(6).png', 'C3N-01875(7).png', 'C3N-01875(8).png', 'C3N-01875(9).png']	0.94	0.94	5.2	320	320	30	316.6655705084223	833.1034482758621	27928.445768023656	52.68555581941536	0.2466607455549568	8.257157918945964	11.815379180348218	33.43190386193456	4.228002321655539	28.703860714158274	27.65957212907931	0.6560891256761823	0.5913988844739532	16.328734767690626	1342.9518674251308	-213.98086547851562	376.240234375	4.3001633	-4.579415
C3N-01876	['C3N-01876(1).png', 'C3N-01876(10).png', 'C3N-01876(11).png', 'C3N-01876(12).png', 'C3N-01876(13).png', 'C3N-01876(14).png', 'C3N-01876(15).png', 'C3N-01876(16).png', 'C3N-01876(17).png', 'C3N-01876(18).png', 'C3N-01876(19).png', 'C3N-01876(2).png', 'C3N-01876(20).png', 'C3N-01876(21).png', 'C3N-01876(22).png', 'C3N-01876(23).png', 'C3N-01876(24).png', 'C3N-01876(25).png', 'C3N-01876(26).png', 'C3N-01876(27).png', 'C3N-01876(28).png', 'C3N-01876(29).png', 'C3N-01876(3).png', 'C3N-01876(30).png', 'C3N-01876(4).png', 'C3N-01876(5).png', 'C3N-01876(6).png', 'C3N-01876(7).png', 'C3N-01876(8).png', 'C3N-01876(9).png']	0.78	0.78	5.2	320	320	30	257.9627777298746	772.6551724137931	25549.92226968584	62.0027788827658	0.1859980300377154	9.05610182059161	11.253440265168642	25.42445980597384	5.2310806579974205	86.6624112817412	85.9168195732506	0.4926338659478906	0.7075804392708183	10.860179743723144	592.1985695226367	378.7588195800781	-486.5989685058594	4.764229	-3.6634412
C3N-01878	['C3N-01878(1).png', 'C3N-01878(10).png', 'C3N-01878(11).png', 'C3N-01878(12).png', 'C3N-01878(13).png', 'C3N-01878(14).png', 'C3N-01878(15).png', 'C3N-01878(16).png', 'C3N-01878(17).png', 'C3N-01878(18).png', 'C3N-01878(19).png', 'C3N-01878(2).png', 'C3N-01878(20).png', 'C3N-01878(21).png', 'C3N-01878(22).png', 'C3N-01878(23).png', 'C3N-01878(24).png', 'C3N-01878(25).png', 'C3N-01878(26).png', 'C3N-01878(27).png', 'C3N-01878(28).png', 'C3N-01878(29).png', 'C3N-01878(3).png', 'C3N-01878(30).png', 'C3N-01878(4).png', 'C3N-01878(5).png', 'C3N-01878(6).png', 'C3N-01878(7).png', 'C3N-01878(8).png', 'C3N-01878(9).png']	0.78	0.78	5.2	320	320	30	257.9627777298746	772.6551724137931	25549.92226968584	62.0027788827658	0.1859980300377154	9.05610182059161	11.253440265168642	25.42445980597384	5.2310806579974205	86.6624112817412	85.9168195732506	0.4926338659478906	0.7075804392708183	10.860179743723144	592.1985695226367	-381.8619079589844	-316.0079040527344	5.445278	-3.4729042
C3N-02631	['C3N-02631(1).png', 'C3N-02631(10).png', 'C3N-02631(11).png', 'C3N-02631(12).png', 'C3N-02631(13).png', 'C3N-02631(14).png', 'C3N-02631(15).png', 'C3N-02631(16).png', 'C3N-02631(17).png', 'C3N-02631(18).png', 'C3N-02631(19).png', 'C3N-02631(2).png', 'C3N-02631(20).png', 'C3N-02631(21).png', 'C3N-02631(22).png', 'C3N-02631(23).png', 'C3N-02631(24).png', 'C3N-02631(25).png', 'C3N-02631(26).png', 'C3N-02631(27).png', 'C3N-02631(28).png', 'C3N-02631(29).png', 'C3N-02631(3).png', 'C3N-02631(30).png', 'C3N-02631(31).png', 'C3N-02631(32).png', 'C3N-02631(33).png', 'C3N-02631(4).png', 'C3N-02631(5).png', 'C3N-02631(6).png', 'C3N-02631(7).png', 'C3N-02631(8).png', 'C3N-02631(9).png']	0.94	0.94	5.2	320	320	33	279.53285747406835	836.59375	25568.33856109061	57.18420934668004	0.2795070648193359	8.605605945953048	6.461079168886842	16.54479455416115	4.855008720774418	17.548203386363767	16.611245789108793	0.5109281174756143	0.7019366254013357	12.524964790593598	2119.295715338797	148.3857421875	530.9161376953125	4.776323	-5.2585363
C3N-02639	['C3N-02639(1).png', 'C3N-02639(10).png', 'C3N-02639(11).png', 'C3N-02639(12).png', 'C3N-02639(13).png', 'C3N-02639(14).png', 'C3N-02639(15).png', 'C3N-02639(16).png', 'C3N-02639(17).png', 'C3N-02639(18).png', 'C3N-02639(19).png', 'C3N-02639(2).png', 'C3N-02639(20).png', 'C3N-02639(21).png', 'C3N-02639(22).png', 'C3N-02639(23).png', 'C3N-02639(24).png', 'C3N-02639(25).png', 'C3N-02639(26).png', 'C3N-02639(27).png', 'C3N-02639(28).png', 'C3N-02639(29).png', 'C3N-02639(3).png', 'C3N-02639(30).png', 'C3N-02639(4).png', 'C3N-02639(5).png', 'C3N-02639(6).png', 'C3N-02639(7).png', 'C3N-02639(8).png', 'C3N-02639(9).png']	0.78	0.78	5.2	320	320	30	257.9627777298746	772.6551724137931	25549.92226968584	62.0027788827658	0.1859980300377154	9.05610182059161	11.253440265168642	25.42445980597384	5.2310806579974205	86.6624112817412	85.9168195732506	0.4926338659478906	0.7075804392708183	10.860179743723144	592.1985695226367	-51.12901306152344	-527.2027587890625	4.797395	-2.9276414
C3N-02679	['C3N-02679(1).png', 'C3N-02679(10).png', 'C3N-02679(11).png', 'C3N-02679(12).png', 'C3N-02679(13).png', 'C3N-02679(14).png', 'C3N-02679(15).png', 'C3N-02679(16).png', 'C3N-02679(17).png', 'C3N-02679(18).png', 'C3N-02679(19).png', 'C3N-02679(2).png', 'C3N-02679(20).png', 'C3N-02679(21).png', 'C3N-02679(22).png', 'C3N-02679(23).png', 'C3N-02679(24).png', 'C3N-02679(25).png', 'C3N-02679(26).png', 'C3N-02679(27).png', 'C3N-02679(28).png', 'C3N-02679(3).png', 'C3N-02679(4).png', 'C3N-02679(5).png', 'C3N-02679(6).png', 'C3N-02679(7).png', 'C3N-02679(8).png', 'C3N-02679(9).png']	0.78	0.78	5.2	320	320	28	294.1333124312631	748.2962962962963	22520.94675431063	51.01443686162511	0.2310013834635416	7.5512127872357	6.385618326750009	18.45653375148204	3.670839502358567	24.15696836677251	23.23386165753835	0.4968814535958415	0.635186834238911	13.782012455441402	184.80390720389008	137.89060974121094	-201.22982788085938	5.287642	-4.6425595
TCGA-A16N	['TCGA-A16N(1).png', 'TCGA-A16N(10).png', 'TCGA-A16N(11).png', 'TCGA-A16N(12).png', 'TCGA-A16N(13).png', 'TCGA-A16N(14).png', 'TCGA-A16N(15).png', 'TCGA-A16N(16).png', 'TCGA-A16N(17).png', 'TCGA-A16N(18).png', 'TCGA-A16N(19).png', 'TCGA-A16N(2).png', 'TCGA-A16N(20).png', 'TCGA-A16N(21).png', 'TCGA-A16N(22).png', 'TCGA-A16N(23).png', 'TCGA-A16N(24).png', 'TCGA-A16N(25).png', 'TCGA-A16N(26).png', 'TCGA-A16N(27).png', 'TCGA-A16N(28).png', 'TCGA-A16N(29).png', 'TCGA-A16N(3).png', 'TCGA-A16N(30).png', 'TCGA-A16N(31).png', 'TCGA-A16N(32).png', 'TCGA-A16N(4).png', 'TCGA-A16N(5).png', 'TCGA-A16N(6).png', 'TCGA-A16N(7).png', 'TCGA-A16N(8).png', 'TCGA-A16N(9).png']	0.78	0.78	6.0	512	512	32	445.9301878388308	1347.225806451613	40381.65240486775	45.00778964970728	0.1543744302565051	11.199700356326764	10.503020515486474	34.18847659053101	5.024819352057465	18.00899103709104	16.934648221031278	0.2667835267415689	0.5007020831092811	23.87733550127971	15900.07258064516	-511.8412780761719	96.37503051757812	3.8863764	-5.096924
TCGA-A2QT	['TCGA-A2QT(1).png', 'TCGA-A2QT(10).png', 'TCGA-A2QT(11).png', 'TCGA-A2QT(12).png', 'TCGA-A2QT(13).png', 'TCGA-A2QT(14).png', 'TCGA-A2QT(15).png', 'TCGA-A2QT(16).png', 'TCGA-A2QT(17).png', 'TCGA-A2QT(18).png', 'TCGA-A2QT(19).png', 'TCGA-A2QT(2).png', 'TCGA-A2QT(20).png', 'TCGA-A2QT(3).png', 'TCGA-A2QT(4).png', 'TCGA-A2QT(5).png', 'TCGA-A2QT(6).png', 'TCGA-A2QT(7).png', 'TCGA-A2QT(8).png', 'TCGA-A2QT(9).png']	0.51	0.51	10.0	512	512	20	166.181289646245	641.421052631579	14031.085156303428	71.55902826303928	0.0058204500298751	11.501290077366097	9.644207621271375	40.939470159456256	20.02609971561434	31.60444531622028	29.94727007168991	0.05661232118907	0.9383686760833524	9.424926760637588	4.368339963531815	509.044677734375	293.8718566894531	3.6593707	-2.5891118
TCGA-A2QY	['TCGA-A2QY(1).png', 'TCGA-A2QY(10).png', 'TCGA-A2QY(11).png', 'TCGA-A2QY(12).png', 'TCGA-A2QY(13).png', 'TCGA-A2QY(14).png', 'TCGA-A2QY(15).png', 'TCGA-A2QY(16).png', 'TCGA-A2QY(17).png', 'TCGA-A2QY(18).png', 'TCGA-A2QY(19).png', 'TCGA-A2QY(2).png', 'TCGA-A2QY(20).png', 'TCGA-A2QY(21).png', 'TCGA-A2QY(22).png', 'TCGA-A2QY(23).png', 'TCGA-A2QY(24).png', 'TCGA-A2QY(25).png', 'TCGA-A2QY(26).png', 'TCGA-A2QY(27).png', 'TCGA-A2QY(28).png', 'TCGA-A2QY(29).png', 'TCGA-A2QY(3).png', 'TCGA-A2QY(30).png', 'TCGA-A2QY(31).png', 'TCGA-A2QY(32).png', 'TCGA-A2QY(33).png', 'TCGA-A2QY(34).png', 'TCGA-A2QY(4).png', 'TCGA-A2QY(5).png', 'TCGA-A2QY(6).png', 'TCGA-A2QY(7).png', 'TCGA-A2QY(8).png', 'TCGA-A2QY(9).png']	0.51	0.51	8.0	512	512	34	126.47343139023302	670.2727272727273	10770.96765734825	81.52614395523065	0.0134443803267045	13.245898802009696	6.20025784361697	33.44636365100865	25.41744850301877	53.64792940565656	48.6092266155515	0.0472478786344157	1.1914481805201542	5.529532063178534	16.37975058628174	518.2914428710938	-99.62893676757812	3.9207456	-3.0869863
